Ground Truth (GT),LR (3000),Att(4000) (proper weights),LIG (5000),LIME (5000),LxA(5000),,Att (1400),Correct Att (3500),Correct LR (1500),,,"GT with ,","LR with ,","Att with ,","LIG with ,","LIME with ,","LxA with ,"
superficial,parental,what,parental,new,parental,,wit,the,parental,,,"superficial,","parental,","what,","parental,","new,","parental,"
depressed,the,on,new,units,new,,human,from,the,,,"depressed,","the,","on,","new,","units,","new,"
redundant,wit,notorious,contains,hide,from,,filmmakers,new,wit,,,"redundant,","wit,","notorious,","contains,","hide,","from,"
succeeds,only,or,wit,contains,only,,too,units,only,,,"succeeds,","only,","or,","wit,","contains,","only,"
crude,and,to,characters,something,nature,,demonstrates,hide,and,,,"crude,","and,","to,","characters,","something,","nature,"
oblivious,characters,past,nature,human,characters,,emotional,",",about,,,"oblivious,","characters,","past,","nature,","human,","characters,"
sharply,something,compared,and,rather,about,,of,no,human,,,"sharply,","something,","compared,","and,","rather,","about,"
recycled,beautiful,this,beautiful,nature,beautiful,,poetry,only,remain,,,"recycled,","beautiful,","this,","beautiful,","nature,","beautiful,"
proves,human,other,rather,beautiful,something,,most,contains,filmmakers,,,"proves,","human,","other,","rather,","beautiful,","something,"
vivid,utterly,for,throughout,characters,and,,deeply,and,could,,,"vivid,","utterly,","for,","throughout,","characters,","and,"
pointless,remain,road,utterly,loves,same,,more,that,up,,,"pointless,","remain,","road,","utterly,","loves,","same,"
touching,filmmakers,taken,remain,throughout,remain,,goes,its,superficial,,,"touching,","filmmakers,","taken,","remain,","throughout,","remain,"
emptiness,up,have,filmmakers,remains,to,,intelligence,about,merit,,,"emptiness,","up,","have,","filmmakers,","remains,","to,"
woven,could,getting,up,remain,filmmakers,,redundant,something,tragic,,,"woven,","could,","getting,","up,","remain,","filmmakers,"
cruel,superficial,know,worst,satisfied,could,,succeeds,human,too,,,"cruel,","superficial,","know,","worst,","satisfied,","could,"
historically,too,me,superficial,could,up,,casting,rather,far,,,"historically,","too,","me,","superficial,","could,","up,"
wisdom,merit,but,tragic,worst,worst,,actress,nature,emotional,,,"wisdom,","merit,","but,","tragic,","worst,","worst,"
fluid,patriot,been,too,far,superficial,,performances,beautiful,demonstrates,,,"fluid,","patriot,","been,","too,","far,","superficial,"
seal,director,because,patriot,treatment,treatment,,comes,characters,hollywood,,,"seal,","director,","because,","patriot,","treatment,","treatment,"
casts,an,like,emotional,merit,tragic,,enriched,loves,small,,,"casts,","an,","like,","emotional,","merit,","tragic,"
masterpiece,demonstrates,of,demonstrates,film,too,,cast,to,film,,,"masterpiece,","demonstrates,","of,","demonstrates,","film,","too,"
hopeless,of,re,film,still,s,,cinema,same,as,,,"hopeless,","of,","re,","film,","still,","s,"
clumsy,games,has,small,small,patriot,,viewing,throughout,director,,,"clumsy,","games,","has,","small,","small,","patriot,"
conviction,as,service,director,games,demonstrates,,plot,remains,out,,,"conviction,","as,","service,","director,","games,","demonstrates,"
realistic,suicidal,one,personal,director,film,,finish,remain,poetry,,,"realistic,","suicidal,","one,","personal,","director,","film,"
portrayal,depressed,with,with,turn,can,,interest,on,deeply,,,"portrayal,","depressed,","with,","with,","turn,","can,"
reveals,thought,advantage,out,personal,.,,sit,up,through,,,"reveals,","thought,","advantage,","out,","personal,",".,"
uneven,are,account,suicidal,hollywood,still,,storyline,could,thought,,,"uneven,","are,","account,","suicidal,","hollywood,","still,"
unpredictable,in,about,depressed,emotional,small,,crude,worst,lengths,,,"unpredictable,","in,","about,","depressed,","emotional,","small,"
epic,through,that,deeply,poetry,personal,,have,s,absurd,,,"epic,","through,","that,","deeply,","poetry,","personal,"
considerable,absurd,doing,most,thought,games,,shaggy,such,do,,,"considerable,","absurd,","doing,","most,","thought,","games,"
enables,do,being,absurd,films,director,,entire,too,for,,,"enables,","do,","being,","absurd,","films,","director,"
flashes,for,years,goes,deeply,with,,nowhere,far,like,,,"flashes,","for,","years,","goes,","deeply,","with,"
vicious,where,experience,t,goes,as,,course,treatment,part,,,"vicious,","where,","experience,","t,","goes,","as,"
jagged,how,do,happening,like,of,,already,merit,where,,,"jagged,","how,","do,","happening,","like,","of,"
slick,bad,feel,bad,used,out,,version,.,movie,,,"slick,","bad,","feel,","bad,","used,","out,"
essentially,greatest,i,story,make,a,,proves,a,bad,,,"essentially,","greatest,","i,","story,","make,","a,"
haunting,intelligence,going,lend,anymore,suicidal,,bringing,of,saw,,,"haunting,","intelligence,","going,","lend,","anymore,","suicidal,"
pale,redundant,too,dumb,movies,poetry,,performance,as,dignity,,,"pale,","redundant,","too,","dumb,","movies,","poetry,"
affecting,succeeds,morning,greatest,part,thought,,once,with,intelligence,,,"affecting,","succeeds,","morning,","greatest,","part,","thought,"
intelligent,casting,an,intelligence,happening,through,,again,an,his,,,"intelligent,","casting,","an,","intelligence,","happening,","through,"
backward,actress,get,his,saw,most,,has,out,redundant,,,"backward,","actress,","get,","his,","saw,","most,"
thrill,face,in,usual,bad,deeply,,vivid,can,succeeds,,,"thrill,","face,","in,","usual,","bad,","deeply,"
powerful,by,same,redundant,movie,films,,pointless,film,casting,,,"powerful,","by,","same,","redundant,","movie,","films,"
torture,ways,had,concept,story,`,,subtle,still,actress,,,"torture,","ways,","had,","concept,","story,","`,"
celebrates,feminist,it,succeeds,greatest,than,,touching,small,it,,,"celebrates,","feminist,","it,","succeeds,","greatest,","than,"
strongest,conspiracy,problem,casting,musicians,in,,veins,games,is,,,"strongest,","conspiracy,","problem,","casting,","musicians,","in,"
irrelevant,anything,so,face,cold,are,,emptiness,director,projects,,,"irrelevant,","anything,","so,","face,","cold,","are,"
canvas,black,summer,projects,intelligence,more,,exploration,turn,original,,,"canvas,","black,","summer,","projects,","intelligence,","more,"
smug,performances,seem,above,usual,absurd,,relentless,personal,ways,,,"smug,","performances,","seem,","above,","usual,","absurd,"
captures,brave,time,young,concept,goes,,thrilling,hollywood,conspiracy,,,"captures,","brave,","time,","young,","concept,","goes,"
offensive,enriched,put,original,face,lengths,,feel,emotional,feminist,,,"offensive,","enriched,","put,","original,","face,","lengths,"
tale,spirits,long,ways,young,t,,magnificent,poetry,anything,,,"tale,","spirits,","long,","ways,","young,","t,"
sitcom,or,a,feminist,whose,do,,together,`,smile,,,"sitcom,","or,","a,","feminist,","whose,","do,"
abuse,cinema,next,conspiracy,actress,make,,empathy,in,performances,,,"abuse,","cinema,","next,","conspiracy,","actress,","make,"
suffers,plot,them,theorist,projects,those,,eastwood,are,brave,,,"suffers,","plot,","them,","theorist,","projects,","those,"
drown,find,wait,smile,swimming,part,,earnest,more,spirits,,,"drown,","find,","wait,","smile,","swimming,","part,"
enduring,weaving,you,brave,casting,was,,skip,through,cast,,,"enduring,","weaving,","you,","brave,","casting,","was,"
acid,clone,else,performances,even,movie,,surprises,than,which,,,"acid,","clone,","else,","performances,","even,","movie,"
