GT x LR,GT x Att,GT x LIG,GT x LIME,GT x LxA,GT,,RQ1,,,,,,
0.8106312292,0.6046511628,0.7674418605,0.2591362126,0.707641196,LR>LIG>LxA>Att>LIME,,Attention can be fixed,,,,,,
,,,,,,,,,,,,,
LR x GT,LR x Att,LR x LIG,LR x LIME,LR x LxA,LR,,,Local ,Global,Gradient,Non-gradient,Post-hoc,Learnt
0.8106312292,0.5061728395,0.7206349206,0.40670194,0.6469135802,GT>LIG>LxA>Att>LIME,,RQ1b,,,,,,
,,,,,,,,0.584717608,0.8106312292,0.7375415282,0.5581395349,0.5780730897,0.707641196
GT X ATT,Att x LR,Att x LIG,Att x LIME,Att x LxA,Att,,,,,,,,
0.6046511628,0.5061728395,0.567251462,0.5646523717,0.544834308,GT>LIG>LIME>LxA>LR,,,,,,,,
,,,,,,,RP - RQ,IoU - RQ,,,,,
LIG x GT,LIG x LR,LIG x Att,LIG x LIME,LIG x LxA,LIG,,,,,,,,
0.7674418605,0.7206349206,0.567251462,0.4521470671,0.6943586865,GT>LR>LxA>Att>LIME,,RQ1,RQ1,,,,,
,,,,,,,RQ1b,RQ1b,,,,,
LIME x GT,LIME x LR,LIME x Att,LIME x LIG,LIME x LxA,LIME,,RQ2,RQ2,,,,,
0.2591362126,0.40670194,0.5646523717,0.4521470671,0.4968293355,Att>LxA>LIG>LR>GT,,RQ3,RQ3,,,,,
,,,,,,,,,,,,,
LxA x GT,LxA x LR,LxA x Att,LxA x LIG,LxA x LIME,LxA,,,,,,,,
0.707641196,0.6469135802,0.544834308,0.6943586865,0.4968293355,GT>LIG>LR>Att>LIME,,,,,,,,
