Ground Truth (GT),LIME (5000) - MR,LIME (5000) - Yelp,Intersection Yelp + MR,Intersection MR + GT,Unique MR,Unique Yelp,"LIME with ,",,LIG (5000) - MR,LIG (5000) - Yelp,Intersection Yelp + MR,Intersection MR + GT,Unique MR,Unique Yelp,"LIG with ,",,LxA (5000) - MR,LxA (5000) - Yelp,Intersection Yelp + MR,Intersection MR + GT,Unique MR,Unique Yelp,"LxA with ,",,LR - MR,LR - Yelp,Intersection Yelp + MR,Intersection MR + GT,Unique MR,Unique Yelp,"LR with ,",,Att - MR,Att - Yelp,Intersection Yelp + MR,Intersection MR + GT,Unique MR,Unique Yelp,"Att with ,"
superficial,one,new,new,touching,tech,units,"one,",,?,parental,?,depressed,an,characters,"?,",,they,parental,go,superficial,they,nature,"they,",,with,parental,has,superficial,an,characters,"with,",,(,the,(,touching,review,units,"(,"
depressed,two,units,hide,wisdom,virus,swimming,"two,",,and,new,and,redundant,a,worst,"and,",,into,new,and,redundant,into,characters,"into,",,his,the,and,redundant,a,worst,"his,",,",",from,",",reveals,partner,swimming,",,"
redundant,even,hide,contains,reveals,mouse,camps,"even,",,with,contains,with,succeeds,",",superficial,"with,",,go,from,one,recycled,on,same,"go,",,that,wit,in,succeeds,",",superficial,"that,",,.,new,.,considerable,moon,climate,".,"
succeeds,get,contains,something,epic,stable,brave,"get,",,her,wit,her,crude,has,tragic,"her,",,and,only,with,vivid,very,remain,"and,",,has,only,of,crude,has,tragic,"has,",,:,units,:,essentially,founding,historically,":,"
crude,head,something,human,considerable,nine,sharply,"head,",,his,characters,his,proves,such,patriot,"his,",,one,nature,attempt,touching,for,filmmakers,"one,",,is,and,for,recycled,such,patriot,"is,",,?,hide,?,pale,trial,seal,"?,"
oblivious,since,human,rather,essentially,fourteen,veins,"since,",,an,nature,into,vivid,this,demonstrates,"an,",,with,characters,but,emptiness,guys,treatment,"with,",,and,characters,an,proves,this,demonstrates,"and,",,a,",",a,powerful,sample,da,"a,"
sharply,see,rather,nature,pale,campaign,climate,"see,",,a,and,out,touching,very,deeply,"a,",,attempt,about,i,cruel,(,too,"attempt,",,in,something,cool,vivid,very,deeply,"in,",,i,no,i,offensive,ownership,markets,"i,"
recycled,life,nature,beautiful,intelligent,cats,circus,"life,",,",",beautiful,drive,cruel,for,goes,",,",,but,beautiful,then,wisdom,get,patriot,"but,",,of,beautiful,the,pointless,for,goes,"of,",,s,only,s,tale,g,norwegian,"s,"
proves,go,beautiful,characters,powerful,bent,aerial,"go,",,into,rather,generation,casts,to,lend,"into,",,i,something,find,hopeless,back,film,"i,",,for,human,continues,touching,to,lend,"for,",,the,contains,the,abuse,italy,manufactured,"the,"
vivid,church,characters,loves,torture,hart,historically,"church,",,has,throughout,generally,masterpiece,on,casting,"has,",,then,and,lost,conviction,happy,can,"then,",,but,utterly,teen,emptiness,on,casting,"but,",,of,and,of,portrait,description,valuable,"of,"
pointless,party,loves,throughout,offensive,reader,generate,"party,",,such,utterly,head,hopeless,of,face,"such,",,find,same,accident,portrayal,all,director,"find,",,one,remain,get,cruel,of,face,"one,",,and,that,and,universal,include,contribution,"and,"
touching,find,throughout,remains,tale,entrance,seal,"find,",,this,remain,go,conviction,him,young,"this,",,lost,remain,him,reveals,we,a,"lost,",,it,filmmakers,bad,wisdom,him,young,"it,",,in,its,in,capable,currently,sand,"in,"
emptiness,lost,remains,remain,abuse,awake,fluid,"lost,",,very,filmmakers,life,realistic,your,conspiracy,"very,",,accident,to,out,uneven,tech,thought,"accident,",,an,up,plot,masterpiece,your,conspiracy,"an,",,to,about,to,longest,label,sufficient,"to,"
woven,idea,remain,satisfied,portrait,commander,consistent,"idea,",,for,up,party,portrayal,in,theorist,"for,",,him,filmmakers,even,epic,know,in,"him,",,to,could,generally,clumsy,in,theorist,"to,",,is,something,is,fallen,exchange,greek,"is,"
cruel,bad,satisfied,could,kills,jeff,da,"bad,",,out,worst,bad,reveals,.,brave,"out,",,out,could,to,considerable,like,absurd,"out,",,on,superficial,generation,conviction,.,brave,"on,",,for,human,for,achievement,walter,document,"for,"
historically,deal,could,worst,courage,author,archives,"deal,",,to,superficial,deal,uneven,they,performances,"to,",,even,up,.,enables,cute,goes,"even,",,this,too,find,realistic,they,performances,"this,",,on,rather,on,touched,australian,2002,"on,"
wisdom,makes,worst,far,universal,solar,preliminary,"makes,",,on,tragic,accident,epic,:,enriched,"on,",,to,worst,his,slick,not,do,"to,",,cool,merit,power,portrayal,:,enriched,"cool,",,with,nature,with,breathe,19,korean,"with,"
