Ground Truth (GT),Logistic Regression (LR) ,LR x GT,,LR (3000),LR (3000) x LIG(5000),,LR (4000),LR (4000) x LIG(5000),,Attention,Attention X GT,,Att x LR,,Att (1400),LR (3000) x Att(1400),,Att (5000),Att(5000) X LR (4000) ,,Forgot lol,LIME,LIME x LR,LIME x ATT,,LIG,LIG x LR,LIG x LIME,LIG x Att,,LIG (1000),LIG(1000) x LR,LIG(1000) x Att,,LIG(2500) ,LIG(2500) x LR,,LIG (5000),LIG(2500) x LR
superficial,bleak,succeeds,,parental,parental,,parental,parental,,affecting,succeeds,,succeeds,,wit,wit,,what,the,,superficial 1,one,#N/A,#N/A,,patriot,vivid,#N/A,enriched,,parental,succeeds,succeeds,,parental,succeeds,,parental,succeeds
depressed,filmmaker,vivid,,the,wit,,the,wit,,bleak,proves,,vivid,,human,human,,on,hide,,succeeds 2,like,,,,feminist,storytelling,,vivid,,patriot,vivid,enriched,,contains,vivid,,new,vivid
redundant,violence,emptiness,,wit,characters,,hide,and,,filmmaker,vivid,,conviction,,filmmakers,filmmakers,,notorious,from,,feminist 2,years,,,,enriched,conviction,,storytelling,,succeeds,earnest,vivid,,filmmakers,emptiness,,contains,emptiness
succeeds,thriller,conviction,,only,and,,from,characters,,poised,emptiness,,haunting,,too,too,,or,wit,,conspiracy 2,well,,,,weaving,reveals,,conviction,,feminist,storytelling,earnest,,up,eastwood,,wit,relentless
crude,uncertain,reveals,,and,beautiful,,wit,beautiful,,embark,masterpiece,,captures,,demonstrates,demonstrates,,to,only,,horrors 1,know,,,,storyline,adaptation,,reveals,,conspiracy,conviction,storytelling,,superficial,earnest,,characters,eastwood
oblivious,significance,flashes,,characters,utterly,,only,utterly,,laced,clumsy,,sitcom,,emotional,of,,past,and,,vivid 3,place,,,,sharply,sequel,,adaptation,,theorist,reveals,conviction,,patriot,cinematic,,nature,earnest
sharply,compelling,haunting,,something,remain,,no,remain,,sank,conviction,,bleak,,of,intelligence,,compared,characters,,emptiness 1,let,,,,vivid,flashes,,sequel,,enriched,adaptation,suspense,,emotional,storytelling,,and,cinematic
recycled,seductive,captures,,beautiful,filmmakers,,and,throughout,,grounded,reveals,,affection,,poetry,redundant,,this,something,,relentless 1,service,,,,storylines,thriller,,rhythms,,weaving,sequel,reveals,,demonstrates,conviction,,beautiful,storytelling
proves,succeeds,sitcom,,human,up,,characters,filmmakers,,emotion,considerable,,gripping,,most,succeeds,,other,human,,eastwood 1,road,,,,generates,wry,,resonance,,storyline,flashes,adaptation,,film,bourne,,rather,conviction
vivid,fascination,meaningful,,utterly,superficial,,something,up,,emotions,haunting,,startling,,deeply,casting,,for,throughout,,earnest 4,also,,,,extremes,plotted,,thriller,,heroes,viewers,derivative,,suicidal,reveals,,throughout,bourne
pointless,illuminating,bleak,,remain,too,,beautiful,superficial,,audrey,affecting,,fatal,,more,actress,,road,same,,historically 1,new,,,,storytelling,literary,,screenplay,,sharply,filmmaker,sequel,,story,adaptation,,utterly,reveals
touching,effortlessly,affection,,filmmakers,patriot,,human,too,,holden,offensive,,establishes,,goes,performances,,taken,filmmakers,,extremes 1,time,,,,casts,bard,,wry,,swords,thriller,rhythms,,greatest,sequel,,remain,adaptation
emptiness,intellectual,absorbing,,up,demonstrates,,utterly,tragic,,thriller,sitcom,,cerebral,,intelligence,enriched,,have,up,,cinematic 3,back,,,,conviction,innocence,,literary,,horrors,sitcom,resonance,,intelligence,compelling,,filmmakers,sequel
woven,emptiness,gripping,,could,director,,remain,patriot,,examining,acid,,fascination,,redundant,cinema,,getting,could,,storytelling 1,even,,,,reveals,dynamics,,viewer,,vivid,wry,viewers,,redundant,flashes,,up,compelling
cruel,cinematic,startling,,superficial,suicidal,,throughout,director,,compelling,juvenile,,stylized,,succeeds,plot,,know,superficial,,tissues 1,get,,,,filmmaking,gripping,,satire,,exploration,plotted,debut,,succeeds,viewers,,worst,flashes
historically,eastwood,fatal,,too,depressed,,same,demonstrates,,roger,bleak,,,,casting,storyline,,me,too,,bourne 1,long,,,,adaptation,pulse,,gripping,,mergers,comedies,filmmaker,,casting,haunting,,superficial,viewers
wisdom,primitive,establishes,,merit,absurd,,filmmakers,out,,witty,convincing,,,,actress,crude,,but,merit,,conviction 4,called,,,,sequel,establishes,,pulse,,storylines,literary,ambitious,,face,filmmaker,,tragic,haunting
fluid,chamber,reduces,,patriot,bad,,up,emotional,,seductive,courage,,,,performances,nowhere,,been,tragic,,collapse 1,going,,,,unpredictable,uncertain,,satirical,,earnest,bard,thriller,,original,violence,,too,filmmaker
seal,blair,jerking,,director,greatest,,could,suicidal,,succeeds,meditation,,,,comes,already,,because,treatment,,portrayal 2,never,,,,conclusions,cerebral,,magnetic,,generates,bleak,supernatural,,feminist,thriller,,patriot,violence
casts,triumph,cerebral,,an,intelligence,,superficial,depressed,,escaping,emerge,,,,enriched,proves,,like,patriot,,reveals 2,last,,,,flashes,collapses,,establishes,,extremes,stereotypes,screenplay,,conspiracy,captures,,emotional,thriller
masterpiece,submarine,infectious,,demonstrates,redundant,,too,deeply,,illuminating,remarkably,,,,cast,has,,of,director,,adaptation 2,went,,,,predecessors,fascination,,collapses,,continuum,innocence,sitcom,,theorist,submarine,,demonstrates,captures
hopeless,flashes,triumph,,of,succeeds,,merit,absurd,,revealing,absorbing,,,,cinema,vivid,,re,an,,sequel 2,next,,,,subordinate,illuminating,,climax,,artworks,spielberg,wry,,enriched,sitcom,,film,submarine
clumsy,viewers,fascination,,games,casting,,tragic,bad,,grim,gripping,,,,viewing,pointless,,has,demonstrates,,compelling 4,put,,,,nomination,significance,,illuminating,,storytelling,stylistic,comedies,,spirits,wry,,small,sitcom
conviction,reveals,stylized,,as,face,,treatment,dumb,,effortlessly,startling,,,,plot,touching,,service,of,,unpredictable 2,good,,,,grips,endurance,,endurance,,casts,brutally,literary,,plot,plotted,,director,wry
realistic,reduces,prejudice,,suicidal,ways,,patriot,greatest,,momentary,fatal,,,,finish,veins,,one,still,,conclusions 1,order,,,,rhythms,prejudice,,commended,,conviction,dynamics,bleak,,cylinders,comedies,,personal,plotted
portrayal,prejudice,strains,,depressed,feminist,,director,intelligence,,cinematic,rises,,,,interest,emptiness,,with,out,,ponder 1,main,,,,retains,fantasies,,depiction,,suspense,absorbing,viewer,,year,meaningful,,with,predecessor
reveals,gripping,,,thought,conspiracy,,an,redundant,,emptiness,stirring,,,,sit,relentless,,advantage,emotional,,flashes 1,often,,,,resonance,explores,,paxton,,reveals,gripping,satire,,weaving,literary,,out,comedies
uneven,explores,,,are,brave,,demonstrates,succeeds,,synthesis,magnetic,,,,storyline,exploration,,account,suicidal,,subordinate 2,later,,,,undead,fingered,,successor,,talents,fatal,stereotypes,,funny,bard,,suicidal,meaningful
unpredictable,lawrence,,,in,performances,,of,casting,,virtues,establishes,,,,crude,eastwood,,about,thought,,crossover 1,still,,,,momentum,strains,,explores,,filmmaking,pulse,tackles,,theme,bleak,,depressed,literary
epic,insights,,,through,enriched,,games,face,,eastwood,jerking,,,,have,earnest,,that,in,,blair 2,much,,,,weaknesses,,,fable,,auschwitz,establishes,stylistic,,storyline,affection,,deeply,bard
considerable,friendship,,,absurd,spirits,,as,ways,,plot,harmless,,,,shaggy,few,,doing,through,,esther 1,best,,,,showdown,,,strains,,adaptation,insights,brutally,,heroes,intellectual,,most,bleak
enables,dynamics,,,do,cinema,,still,original,,hampered,hollow,,,,entire,power,,being,films,,grips 1,something,,,,evade,,,,,descends,uncertain,absorbing,,existence,stereotypes,,absurd,affection
flashes,absorbing,,,for,plot,,out,feminist,,actress,viewed,,,,nowhere,significant,,years,deeply,,viewers 2,find,,,,cinematography,,,,,derivative,cerebral,gripping,,sharply,innocence,,goes,intellectual
vicious,employs,,,where,find,,emotional,conspiracy,,gazing,hampered,,,,course,actors,,experience,lengths,,haunting 3,two,,,,vulnerable,,,,,sequel,collapses,fatal,,nowhere,spielberg,,t,stereotypes
jagged,sequel,,,how,weaving,,suicidal,smile,,fiercely,infectious,,,,already,generate,,do,do,,momentum 1,man,,,,thriller,,,,,procession,brooding,pulse,,recycled,stylistic,,happening,comedic
slick,stylized,,,bad,funny,,depressed,performances,,collateral,triumph,,,,version,robert,,feel,for,,filmmaker 1,found,,,,maternal,,,,,preliminary,lyrical,satirical,,version,provocative,,bad,innocence
