LR x Evidences,Sentence count,Score,Alignment Ratio,,Attention x Evidences,Sentence count,Score,Alignment Ratio,,LIME x Evidences,Sentence count,Score,Alignment Ratio,,LIG x Evidences,Sentence count,Score,Alignment Ratio,,LxA x Evidences,Sentence count,Score,Alignment Ratio
mother,34,0.7058823529,0.0002979501033,,bad,146,0.2465753425,0.0006256952169,,bad,146,0.2465753425,0.000635626887,,drive,15,0.2666666667,0.0003376767837,,bad,146,0.2465753425,0.001191800413
horrible,15,0.2,100688,,generally,13,0.7692307692,,,generally,13,0.7692307692,,,generally,13,0.7692307692,,,generally,13,0.7692307692,
trip,15,0.2666666667,0.020229265,,drive,15,0.2666666667,0.01878354204,,drive,15,0.2666666667,0.01580246914,,start,29,0.275862069,0.009542520348,,drive,15,0.2666666667,0.03308519438
green,14,0.7142857143,1483,,attempt,30,0.2333333333,3354,,attempt,30,0.2333333333,4050,,liked,11,0.8181818182,3563,,attempt,30,0.2333333333,3627
predictable,19,0.2631578947,,,within,15,0.2666666667,,,within,15,0.2666666667,,,sitting,10,0.2,,,within,15,0.2666666667,
put,41,0.2682926829,,,start,29,0.275862069,,,start,29,0.275862069,,,battle,14,0.7142857143,,,start,29,0.275862069,
knows,19,0.7894736842,,,lee,28,0.2857142857,,,lee,28,0.2857142857,,,ai,7,0.2857142857,,,lee,28,0.2857142857,
human,35,0.7142857143,,,mother,34,0.7058823529,,,mother,34,0.7058823529,,,directors,11,0.8181818182,,,evidence,8,0.25,
fails,14,0.2142857143,,,parents,24,0.7083333333,,,parents,24,0.7083333333,,,rising,11,0.1818181818,,,mother,34,0.7058823529,
liked,11,0.8181818182,,,political,21,0.7142857143,,,political,21,0.7142857143,,,mission,19,0.2105263158,,,nine,8,0.125,
fast,20,0.25,,,green,14,0.7142857143,,,green,14,0.7142857143,,,creative,9,0.7777777778,,,parents,24,0.7083333333,
wonderful,27,0.7037037037,,,sent,18,0.2222222222,,,sent,18,0.2222222222,,,twin,8,0.25,,,political,21,0.7142857143,
slow,21,0.1904761905,,,results,12,0.75,,,results,12,0.75,,,welcome,14,0.7142857143,,,multiple,7,0.2857142857,
decent,22,0.2727272727,,,whatever,14,0.2142857143,,,whatever,14,0.2142857143,,,hold,12,0.25,,,green,14,0.7142857143,
impossible,17,0.2941176471,,,kill,27,0.2222222222,,,kill,27,0.2222222222,,,despite,25,0.28,,,sent,18,0.2222222222,
welcome,14,0.7142857143,,,america,28,0.7142857143,,,america,28,0.7142857143,,,succeeds,7,0.1428571429,,,results,12,0.75,
sit,16,0.125,,,put,41,0.2682926829,,,put,41,0.2682926829,,,theatre,13,0.2307692308,,,whatever,14,0.2142857143,
musical,13,0.7692307692,,,human,35,0.7142857143,,,human,35,0.7142857143,,,test,6,0,,,feet,7,0.2857142857,
heavy,14,0.1428571429,,,sports,13,0.1538461538,,,sports,13,0.1538461538,,,cops,8,0.25,,,kill,27,0.2222222222,
moving,11,0.7272727273,,,war,42,0.7142857143,,,war,42,0.7142857143,,,animal,6,0.8333333333,,,america,28,0.7142857143,
forced,15,0.7333333333,,,average,17,0.2941176471,,,average,17,0.2941176471,,,patch,7,0.2857142857,,,phone,7,0.1428571429,
enjoyed,11,0.7272727273,,,fast,20,0.25,,,fast,20,0.25,,,crystal,8,0.25,,,put,41,0.2682926829,
