Att,LR,LIME,,Att X LR,Att X LIME,LR x LIME
bad,worst,worst,,bad,bad,worst
lacks,lacks,poorly,,lacks,no,lacking
too,lacking,lacking,,too,dull,stupid
ultimately,remarkable,disappointment,,no,waste,failure
no,mess,waste,,best,lack,beautiful
not,powerful,amazing,,dull,,fascinating
feels,stupid,bland,,waste,,wonderful
like,failure,ugly,,less,,bad
keeps,beautiful,pointless,,lack,,enjoyable
have,fascinating,dreadful,,solid,,devoid
little,wonderful,superb,,touching,,lack
best,hilarious,dazzling,,,,waste
fun,bad,insult,,,,refreshing
dull,enjoyable,overly,,,,terrific
waste,devoid,insulting,,,,pointless
less,none,worse,,,,poorly
awful,lack,poor,,,,neither
worth,waste,failure,,,,dull
another,refreshing,irritating,,,,poor
compelling,charming,devoid,,,,ugly
?,terrific,dull,,,,unnecessary
good,solid,ina,,,,no
need,too,lack,,,,brilliant
mesmerizing,pointless,wonderful,,,,
lack,poorly,fascinating,,0.22,0.09803921569,0.46
has,depressing,enjoyable,,,,
riveting,appealing,stale,,,,
did,clichés,terrific,,,,
funny,best,empty,,,,
well-acted,bore,mis,,,,
solid,less,uneven,,,,
nothing,pretentious,miserable,,,,
that',neither,stupid,,,,
t,dull,brilliant,,,,
poignant,unfunny,delight,,,,
also,flat,violence,,,,
tedious,poor,unnecessary,,,,
should,treat,##mir,,,,
gets,entertaining,beautiful,,,,
performances,fails,sloppy,,,,
.',ugly,fresh,,,,
missing,engrossing,pleasant,,,,
touching,heart,refreshing,,,,
short,unnecessary,gem,,,,
will,touching,unpleasant,,,,
downer,no,repetitive,,,,
heavy-handed,boring,neither,,,,
.,brilliant,no,,,,
just,intriguing,shame,,,,
wants,hardly,bad,,,,
,there,in,,,,
